DAX (GDAXI);Henkel;357;71,28;70,54;71,46;2023-08-15
DAX (GDAXI);Infineon;659;32,945;32,680;33,765;2023-08-15
DAX (GDAXI);Mercedes Benz Group;355;68,130;68,090;68,970;2023-08-15
DAX (GDAXI);Merck;658;160,75;160,15;162,55;2023-08-15
DAX (GDAXI);Mtu Aero Engines Holding AG;6321;205,30;204,40;208,70;2023-08-15
DAX (GDAXI);Munchener Ruck;662;349,10;346,30;350,20;2023-08-15
DAX (GDAXI);Porsche Automobil Holding SE;356;50,240;49,920;50,540;2023-08-15
DAX (GDAXI);Qiagen NV;6336;40,120;39,790;40,320;2023-08-15
DAX (GDAXI);Rheinmetall;665;259,800;259,600;265,300;2023-08-15
DAX (GDAXI);RWE;6306;38,750;38,510;39,310;2023-08-15
DAX (GDAXI);SAP;663;126,180;125,600;127,240;2023-08-15
DAX (GDAXI);Sartorius AG Vz;19900;369,900;360,500;371,300;2023-08-15
DAX (GDAXI);Siemens;350;137,66;137,26;140,04;2023-08-15
DAX (GDAXI);Siemens Energy AG;1166602;13,42;13,31;13,80;2023-08-15
DAX (GDAXI);Siemens Healthineers;1072226;46,52;46,23;47,12;2023-08-15
DAX (GDAXI);Symrise AG;6328;90,820;90,120;91,840;2023-08-15
DAX (GDAXI);Volkswagen VZO;22402;115,74;115,50;117,14;2023-08-15
DAX (GDAXI);Vonovia;49817;20,41;20,18;20,83;2023-08-15
DAX (GDAXI);Zalando SE;942333;27,61;27,36;28,01;2023-08-15
IBEX 35 (IBEX);Acciona;449;128,600;128,200;131,750;2023-08-15
IBEX 35 (IBEX);Acerinox;445;9,220;9,180;9,348;2023-08-15
IBEX 35 (IBEX);ACS;442;31,510;31,500;31,800;2023-08-15
IBEX 35 (IBEX);Aena;945627;143,65;142,80;145,25;2023-08-15
IBEX 35 (IBEX);Amadeus;14615;63,860;63,540;64,180;2023-08-15
IBEX 35 (IBEX);ArcelorMittal;32439;24,250;24,190;24,890;2023-08-15
IBEX 35 (IBEX);Banco de Sabadell;473;1,0900;1,0840;1,1030;2023-08-15
IBEX 35 (IBEX);Bankinter;447;6,012;5,960;6,076;2023-08-15
IBEX 35 (IBEX);BBVA;446;7,112;7,042;7,222;2023-08-15
IBEX 35 (IBEX);Caixabank;452;3,810;3,786;3,835;2023-08-15
IBEX 35 (IBEX);Cellnex Telecom;951681;35,49;35,26;35,70;2023-08-15
IBEX 35 (IBEX);Corporacion Acciona Energias Renovables;1174892;26,28;26,14;26,84;2023-08-15
IBEX 35 (IBEX);Enagas;453;15,450;15,430;15,755;2023-08-15
IBEX 35 (IBEX);Endesa;13816;18,750;18,670;19,070;2023-08-15
IBEX 35 (IBEX);Ferrovial;459;29,730;29,440;29,910;2023-08-15
IBEX 35 (IBEX);Fluidra SA;32285;21,240;21,080;21,360;2023-08-15
IBEX 35 (IBEX);Grifols;458;13,490;13,220;13,490;2023-08-15
IBEX 35 (IBEX);IAG;13809;1,925;1,912;1,938;2023-08-15
IBEX 35 (IBEX);Iberdrola;463;10,645;10,620;10,860;2023-08-15
IBEX 35 (IBEX);Inditex;461;33,550;33,210;33,710;2023-08-15
IBEX 35 (IBEX);Indra;465;13,260;13,170;13,400;2023-08-15
IBEX 35 (IBEX);Inmob colonial;9060;5,440;5,390;5,510;2023-08-15
IBEX 35 (IBEX);Laboratorios Farmaceuticos ROVI SA;32178;47,900;47,160;47,960;2023-08-15
IBEX 35 (IBEX);Logista;104388;25,00;24,92;25,28;2023-08-15
IBEX 35 (IBEX);Mapfre;466;1,887;1,867;1,897;2023-08-15
IBEX 35 (IBEX);Melia Hotels International SA;32188;6,260;6,230;6,345;2023-08-15
IBEX 35 (IBEX);Merlin Properties SA;102931;8,170;8,060;8,285;2023-08-15
IBEX 35 (IBEX);Naturgy Energy;456;25,920;25,840;26,200;2023-08-15
IBEX 35 (IBEX);Red Electrica;460;14,775;14,740;14,995;2023-08-15
IBEX 35 (IBEX);Repsol;462;13,750;13,680;13,950;2023-08-15
IBEX 35 (IBEX);Sacyr Valle;472;2,920;2,910;2,970;2023-08-15
IBEX 35 (IBEX);Santander;474;3,5670;3,5405;3,6055;2023-08-15
IBEX 35 (IBEX);Solaria Energia y Medio Ambiente;32180;13,235;13,150;13,540;2023-08-15
IBEX 35 (IBEX);Telefonica;469;3,6220;3,6090;3,6660;2023-08-15
IBEX 35 (IBEX);Unicaja Banco;1013395;1,027;1,021;1,043;2023-08-15
PSI (PSI20);Altri;428;4,242;4,190;4,242;2023-08-16
PSI (PSI20);BCP;430;0,2462;0,2430;0,2475;2023-08-16
PSI (PSI20);Corticeira Amorim;15156;9,97;9,96;10,20;2023-08-16
PSI (PSI20);CTT Correios de Portugal SA;49929;3,39;3,38;3,41;2023-08-16
PSI (PSI20);EDP Renováveis;14606;16,71;16,64;16,86;2023-08-16
PSI (PSI20);Energias de Portugal;424;4,150;4,117;4,155;2023-08-16
PSI (PSI20);Galp Energia;421;12,01;11,93;12,05;2023-08-16
PSI (PSI20);Greenvolt Energias Renovaveis;1174982;6,145;6,110;6,180;2023-08-16
PSI (PSI20);Ibersol Reg;15165;6,78;6,68;6,78;2023-08-16
PSI (PSI20);Jeronimo Martins;423;24,18;24,04;24,32;2023-08-16
PSI (PSI20);Mota-Engil;433;2,450;2,425;2,455;2023-08-16
PSI (PSI20);Nos SGPS SA;13807;3,32;3,29;3,34;2023-08-16
PSI (PSI20);REN;434;2,465;2,455;2,465;2023-08-16
PSI (PSI20);Semapa;437;13,06;12,90;13,12;2023-08-16
PSI (PSI20);Sonae;439;0,9525;0,9440;0,9535;2023-08-16
PSI (PSI20);The Navigator;431;3,204;3,172;3,212;2023-08-16
DAX (GDAXI);Adidas;348;185,08;178,64;185,08;2023-08-16
DAX (GDAXI);Airbus Group;962988;128,66;128,16;129,52;2023-08-16
DAX (GDAXI);Allianz;347;221,75;220,30;222,65;2023-08-16
DAX (GDAXI);BASF;345;45,710;45,425;45,910;2023-08-16
DAX (GDAXI);Bayer;346;51,00;50,59;51,69;2023-08-16
DAX (GDAXI);Beiersdorf;6283;120,150;119,950;121,850;2023-08-16
DAX (GDAXI);BMW;652;99,760;98,730;100,600;2023-08-16
DAX (GDAXI);Brenntag AG;14145;72,160;71,320;72,280;2023-08-16
DAX (GDAXI);Commerzbank;358;10,115;9,960;10,145;2023-08-16
DAX (GDAXI);Continental;353;66,54;66,26;67,06;2023-08-16
DAX (GDAXI);Covestro;958839;48,120;47,770;49,230;2023-08-16
DAX (GDAXI);Daimler Truck Holding;1181372;33,93;33,75;34,05;2023-08-16
DAX (GDAXI);Deutsche Bank;352;9,867;9,832;9,926;2023-08-16
DAX (GDAXI);Deutsche Borse;359;167,400;167,250;168,850;2023-08-16
DAX (GDAXI);Deutsche Post;354;43,565;43,480;43,830;2023-08-16
DAX (GDAXI);Deutsche Tel.;656;19,020;18,850;19,028;2023-08-16
DAX (GDAXI);Dr Ing hc F Porsche Prf;1194617;104,25;103,40;104,85;2023-08-16
DAX (GDAXI);E.ON;9251;11,015;10,910;11,030;2023-08-16
DAX (GDAXI);Fresenius SE;6284;29,780;29,530;29,970;2023-08-16
DAX (GDAXI);Hannover Rueckversicherung AG;6298;198,05;197,40;199,35;2023-08-16
DAX (GDAXI);Heidelbergcement;6334;77,400;76,540;77,760;2023-08-16
DAX (GDAXI);Henkel;357;72,02;71,20;72,10;2023-08-16
DAX (GDAXI);Infineon;659;32,910;32,750;33,290;2023-08-16
DAX (GDAXI);Mercedes Benz Group;355;68,280;67,840;68,950;2023-08-16
DAX (GDAXI);Merck;658;160,15;159,95;162,10;2023-08-16
DAX (GDAXI);Mtu Aero Engines Holding AG;6321;203,50;203,50;206,50;2023-08-16
DAX (GDAXI);Munchener Ruck;662;353,40;348,00;353,50;2023-08-16
DAX (GDAXI);Porsche Automobil Holding SE;356;49,920;49,780;50,100;2023-08-16
DAX (GDAXI);Qiagen NV;6336;39,650;39,460;40,270;2023-08-16
DAX (GDAXI);Rheinmetall;665;249,900;249,900;259,000;2023-08-16
DAX (GDAXI);RWE;6306;38,880;38,660;39,020;2023-08-16
DAX (GDAXI);SAP;663;127,120;125,980;127,320;2023-08-16
DAX (GDAXI);Sartorius AG Vz;19900;369,800;365,100;369,800;2023-08-16
